iter	Passed	Remaining
0	7	5726
1	10	4360
2	16	4459
3	25	5086
4	54	8603
5	56	7465
6	58	6667
7	66	6629
8	68	6054
9	72	5761
10	75	5446
11	78	5141
12	80	4852
13	82	4611
14	87	4564
15	89	4406
16	91	4235
17	94	4108
18	98	4042
19	104	4073
20	108	4036
21	111	3953
22	114	3870
23	116	3769
24	118	3683
25	120	3587
26	122	3516
27	125	3465
28	129	3435
29	131	3387
30	136	3393
31	139	3352
32	143	3336
33	149	3362
34	152	3325
35	154	3273
36	157	3241
37	159	3205
38	162	3166
39	165	3148
40	167	3106
41	169	3053
42	172	3043
43	177	3043
44	181	3048
45	189	3104
46	195	3128
47	197	3091
48	207	3177
49	208	3132
50	224	3291
51	229	3307
52	232	3279
53	235	3260
54	239	3242
55	261	3480
56	264	3453
57	267	3422
58	295	3712
59	315	3893
60	318	3859
61	335	3991
62	338	3959
63	349	4016
64	356	4026
65	366	4073
66	370	4054
67	385	4151
68	389	4121
69	393	4105
70	401	4123
71	404	4088
72	406	4048
73	420	4127
74	424	4107
75	430	4102
76	449	4216
77	451	4178
78	471	4305
79	478	4305
80	484	4303
81	487	4270
82	490	4240
83	501	4274
84	512	4309
85	514	4274
86	518	4245
87	527	4264
88	541	4329
89	545	4301
90	557	4343
91	562	4327
92	564	4293
93	573	4304
94	576	4278
95	579	4246
96	581	4210
97	584	4185
98	589	4172
99	594	4158
100	596	4128
101	605	4142
102	608	4119
103	621	4161
104	630	4174
105	633	4146
106	635	4117
107	641	4113
108	644	4088
109	649	4076
110	654	4059
111	658	4042
112	660	4014
113	662	3986
114	665	3963
115	668	3943
116	670	3916
117	673	3895
118	676	3871
119	681	3863
120	684	3842
121	686	3817
122	689	3793
123	691	3769
124	693	3743
125	695	3718
126	697	3693
127	700	3675
128	712	3707
129	721	3718
130	729	3727
131	733	3709
132	735	3687
133	737	3665
134	746	3679
135	749	3656
136	750	3634
137	754	3617
138	758	3607
139	760	3586
140	769	3594
141	773	3583
142	782	3595
143	786	3582
144	790	3571
145	792	3551
146	797	3541
147	803	3537
148	805	3518
149	807	3499
150	809	3479
151	812	3462
152	814	3445
153	816	3425
154	818	3406
155	821	3391
156	823	3373
157	825	3356
158	828	3339
159	830	3323
160	833	3307
161	835	3290
162	837	3272
163	840	3258
164	843	3244
165	845	3229
166	847	3214
167	850	3198
168	860	3212
169	862	3197
170	866	3187
171	871	3181
172	873	3166
173	876	3153
174	882	3153
175	888	3149
176	892	3142
177	894	3126
178	897	3111
179	903	3112
180	909	3109
181	917	3115
182	920	3104
183	923	3090
184	925	3078
185	932	3078
186	935	3066
187	937	3052
188	946	3059
189	948	3044
190	952	3038
191	955	3024
192	957	3012
193	963	3008
194	965	2995
195	974	3004
196	977	2991
197	979	2979
198	981	2965
199	984	2953
200	986	2939
201	988	2927
202	994	2924
203	999	2921
204	1002	2909
205	1005	2898
206	1008	2888
207	1011	2878
208	1013	2866
209	1015	2852
210	1017	2839
211	1020	2830
212	1023	2819
213	1027	2812
214	1029	2801
215	1033	2793
216	1035	2780
217	1037	2768
218	1040	2759
219	1046	2759
220	1049	2748
221	1051	2736
222	1054	2727
223	1055	2713
224	1057	2703
225	1061	2696
226	1065	2688
227	1072	2690
228	1074	2680
229	1088	2698
230	1091	2687
231	1097	2687
232	1099	2676
233	1101	2664
234	1106	2660
235	1108	2649
236	1115	2649
237	1118	2641
238	1121	2631
239	1123	2620
240	1131	2624
241	1133	2613
242	1136	2605
243	1140	2599
244	1143	2591
245	1147	2584
246	1149	2574
247	1151	2563
248	1153	2552
249	1156	2543
250	1159	2536
251	1161	2526
252	1163	2516
253	1171	2518
254	1184	2531
255	1186	2521
256	1188	2511
257	1190	2501
258	1197	2500
259	1201	2494
260	1204	2488
261	1207	2478
262	1209	2469
263	1211	2460
264	1214	2451
265	1216	2442
266	1219	2434
267	1221	2424
268	1225	2419
269	1227	2409
270	1230	2402
271	1232	2393
272	1236	2386
273	1237	2376
274	1240	2369
275	1246	2366
276	1262	2382
277	1264	2374
278	1266	2365
279	1268	2356
280	1271	2347
281	1274	2341
282	1277	2333
283	1285	2335
284	1295	2340
285	1297	2332
286	1300	2323
287	1302	2316
288	1311	2319
289	1313	2310
290	1316	2303
291	1323	2302
292	1335	2310
293	1337	2301
294	1354	2319
295	1357	2311
296	1360	2303
297	1362	2294
298	1364	2286
299	1378	2297
300	1381	2290
301	1384	2283
302	1395	2288
303	1398	2282
304	1400	2272
305	1402	2264
306	1405	2256
307	1412	2256
308	1415	2248
309	1417	2240
310	1419	2231
311	1421	2223
312	1427	2221
313	1430	2213
314	1433	2206
315	1438	2203
316	1441	2196
317	1454	2205
318	1459	2201
319	1465	2197
320	1467	2190
321	1469	2182
322	1473	2176
323	1476	2169
324	1478	2161
325	1482	2155
326	1484	2147
327	1486	2139
328	1495	2140
329	1499	2135
330	1502	2129
331	1507	2125
332	1516	2126
333	1519	2120
334	1522	2112
335	1525	2106
336	1528	2099
337	1533	2095
338	1535	2087
339	1537	2080
340	1544	2079
341	1551	2078
342	1553	2069
343	1558	2065
344	1561	2059
345	1563	2051
346	1568	2047
347	1571	2041
348	1576	2037
349	1579	2030
350	1582	2024
351	1586	2018
352	1592	2016
353	1595	2009
354	1599	2004
355	1601	1997
356	1605	1991
357	1607	1984
358	1609	1977
359	1617	1976
360	1619	1969
361	1627	1969
362	1633	1966
363	1640	1964
364	1646	1962
365	1649	1955
366	1652	1949
367	1659	1948
368	1666	1946
369	1669	1939
370	1672	1933
371	1674	1926
372	1676	1919
373	1682	1916
374	1684	1908
375	1686	1901
376	1700	1908
377	1703	1901
378	1707	1896
379	1712	1892
380	1715	1886
381	1718	1880
382	1720	1873
383	1722	1866
384	1725	1860
385	1736	1862
386	1738	1855
387	1740	1847
388	1742	1840
389	1744	1833
390	1746	1827
391	1756	1827
392	1762	1825
393	1771	1825
394	1787	1832
395	1790	1826
396	1793	1820
397	1796	1814
398	1798	1807
399	1809	1809
400	1815	1806
401	1817	1799
402	1827	1800
403	1831	1795
404	1834	1788
405	1836	1781
406	1838	1775
407	1840	1768
408	1846	1765
409	1849	1759
410	1851	1752
411	1853	1745
412	1855	1739
413	1858	1732
414	1866	1731
415	1869	1725
416	1871	1718
417	1875	1713
418	1881	1711
419	1886	1707
420	1888	1700
421	1890	1693
422	1892	1686
423	1895	1680
424	1897	1674
425	1908	1675
426	1911	1669
427	1919	1667
428	1931	1670
429	1936	1666
430	1939	1660
431	1942	1654
432	1948	1651
433	1952	1646
434	1963	1647
435	1966	1641
436	1969	1635
437	1972	1629
438	1981	1629
439	1995	1632
440	1998	1627
441	2001	1620
442	2029	1635
443	2039	1635
444	2041	1628
445	2049	1627
446	2054	1622
447	2056	1615
448	2064	1614
449	2067	1607
450	2071	1603
451	2076	1598
452	2079	1592
453	2081	1586
454	2085	1581
455	2094	1580
456	2098	1574
457	2102	1569
458	2104	1563
459	2106	1556
460	2108	1550
461	2111	1545
462	2120	1543
463	2134	1545
464	2137	1540
465	2143	1536
466	2149	1532
467	2151	1525
468	2155	1521
469	2158	1515
470	2164	1512
471	2168	1506
472	2171	1500
473	2173	1495
474	2176	1489
475	2183	1486
476	2186	1480
477	2191	1476
478	2195	1471
479	2197	1465
480	2200	1459
481	2202	1453
482	2207	1448
483	2210	1442
484	2212	1437
485	2215	1431
486	2217	1425
487	2219	1419
488	2227	1416
489	2229	1410
490	2231	1404
491	2236	1400
492	2239	1394
493	2252	1395
494	2254	1388
495	2256	1382
496	2258	1377
497	2261	1371
498	2266	1367
499	2269	1361
500	2273	1356
501	2275	1350
502	2278	1345
503	2281	1339
504	2285	1334
505	2287	1329
506	2289	1323
507	2293	1318
508	2295	1312
509	2298	1306
510	2301	1301
511	2303	1295
512	2305	1289
513	2307	1284
514	2312	1279
515	2316	1274
516	2318	1269
517	2320	1263
518	2322	1257
519	2330	1255
520	2333	1249
521	2336	1244
522	2339	1239
523	2347	1236
524	2352	1232
525	2355	1226
526	2359	1222
527	2362	1216
528	2368	1213
529	2371	1208
530	2373	1202
531	2379	1198
532	2381	1193
533	2384	1187
534	2399	1188
535	2405	1185
536	2408	1179
537	2411	1174
538	2414	1169
539	2427	1168
540	2429	1163
541	2432	1157
542	2435	1152
543	2441	1148
544	2444	1143
545	2459	1144
546	2462	1138
547	2464	1133
548	2466	1127
549	2469	1122
550	2472	1117
551	2474	1111
552	2477	1106
